txId,Class
230425980,0.0
5530458,0.0
232022460,0.0
230460314,0.0
230459870,0.0
230333930,1.0
230595899,0.0
232013274,0.0
36411953,0.0
230405052,0.0
34194980,1.0
5529846,1.0
230409257,0.0
32877982,0.0
230351738,1.0
195218118,1.0
88008478,1.0
232012569,1.0
232412408,0.0
232038018,0.0
2925426,0.0
233591710,0.0
234439913,0.0
232945017,1.0
94251207,0.0
6595740,0.0
79840192,0.0
212704383,1.0
212366182,1.0
69254632,0.0
230595355,0.0
166890641,0.0
82304496,0.0
230470022,0.0
230598493,0.0
43560505,0.0
14878322,1.0
230415750,1.0
232073372,1.0
75604335,0.0
3307463,0.0
230658679,0.0
232074274,0.0
5234549,1.0
232431877,0.0
81273879,0.0
3878856,0.0
13334987,1.0
5530452,1.0
230519287,0.0
194810163,1.0
230423321,0.0
232399276,1.0
230659456,0.0
230658142,0.0
230347386,0.0
37233982,0.0
230427468,0.0
75605182,0.0
75604052,0.0
231208959,0.0
230455950,0.0
232658952,0.0
232658962,0.0
230530291,0.0
75604616,0.0
37232637,1.0
230531551,0.0
4619363,0.0
230516010,1.0
232441583,0.0
232441589,0.0
5529367,1.0
230658273,0.0
230658517,0.0
232353601,0.0
234419729,1.0
230531146,0.0
230545782,0.0
230415003,0.0
230414561,0.0
230453429,0.0
230459154,0.0
230425284,0.0
83431059,0.0
230530225,0.0
230095969,0.0
230440353,0.0
230440535,0.0
230440534,0.0
232022496,1.0
232022773,1.0
230348238,0.0
3409584,0.0
80044108,0.0
146601928,1.0
232368272,1.0
230521273,1.0
230658997,1.0
231179660,0.0
230967090,0.0
230439439,0.0
230658277,0.0
230563355,0.0
230455752,0.0
232416085,0.0
232038004,0.0
232037822,1.0
230471902,0.0
230471916,0.0
232393313,0.0
230511916,0.0
39617084,0.0
230530178,0.0
232070456,0.0
232436036,0.0
230330969,0.0
232918438,1.0
230335026,0.0
232698839,0.0
230459131,0.0
230559672,0.0
54492406,0.0
4855592,0.0
231994250,1.0
232910950,1.0
3907739,1.0
230438749,0.0
232687445,0.0
2819887,0.0
232956426,0.0
230530380,0.0
230474094,0.0
230473989,0.0
75604389,0.0
75604980,0.0
230471946,0.0
231429973,1.0
79642404,0.0
71136742,1.0
232897313,0.0
231168875,0.0
230537117,1.0
232040268,0.0
230467682,0.0
2756358,0.0
232432897,1.0
66396856,0.0
2893869,0.0
232634676,1.0
232364856,0.0
232440939,0.0
79642776,0.0
42953128,0.0
230424236,0.0
230529171,1.0
14580549,0.0
86655785,0.0
230577422,0.0
230471924,0.0
232894488,0.0
2893846,1.0
230334809,0.0
230541525,0.0
232345632,0.0
230463877,0.0
232431856,0.0
230683178,0.0
230349226,1.0
233221331,0.0
81167039,0.0
230594121,0.0
232399274,0.0
232399270,0.0
230659151,1.0
230467618,0.0
230467684,0.0
230531179,0.0
230437680,0.0
19617883,0.0
230411721,0.0
35574259,0.0
232957846,0.0
232675389,0.0
147419328,1.0
233599193,0.0
233599189,0.0
230591601,0.0
60519306,1.0
